051515 22.0 29.0 11
051520 23.0 29.0 12
051526 22.0 29.0 11
051556 30.0 33.0 11
051620 30.0 34.0 10
051631 30.0 36.0 11
051719 30.0 31.5 12
051725 29.0 29.5 12
051748 26.0 29.5 12
051806 16.0 21.0 11
051818 11.0 20.5 10
051847 3.0 9.0 8
051853 3.0 8.5 8
051917 3.0 7.0 8
051947 7.0 7.5 8
052040 6.0 12.0 10
052109 7.0 12.5 10
052208 7.0 12.0 9
052220 12.0 12.0 9
052226 7.0 13.0 9
052320 12.0 16.0 8
052325 12.0 17.0 7
052337 12.0 14.5 6
052343 11.0 15.0 6
052355 9.0 14.5 8
060007 13.0 15.5 8
060013 15.0 17.5 8
060019 14.0 16.5 8
060025 15.0 16.5 8
060042 17.0 21.0 7
060100 17.0 16.5 6
060136 21.0 20.0 6
060141 22.0 19.5 6
060211 16.0 23.0 8
060223 13.0 22.0 8
060258 13.0 16.5 8
060322 15.0 17.0 7
060415 13.0 18.5 6
060433 19.0 19.5 8
060451 15.0 25.5 6
060556 13.0 21.0 8
060608 13.0 23.5 8
060649 16.0 21.0 9
060713 14.0 19.0 9
060719 14.0 19.0 9
060730 14.0 19.0 9
060736 12.0 19.0 9
060748 12.0 19.0 10
060806 10.0 17.0 10
060841 9.0 11.0 9
061017 5.0 12.0 8
061040 5.0 10.0 8
061116 3.0 9.0 10
061122 5.0 9.0 10
061151 4.0 10.0 8
061157 4.0 10.0 8
061209 5.0 10.0 9
061215 5.0 10.0 8
061238 4.0 8.5 10
061302 5.0 6.5 8
061308 3.0 6.0 8
061320 3.0 5.0 7
061332 1.0 5.5 8
061349 2.0 4.5 6
061407 3.0 5.5 8
061413 3.0 6.0 9
061518 4.0 8.0 7
061524 4.0 8.0 8
061536 5.0 9.0 7
061617 3.0 7.0 7
061629 4.0 4.5 6
061647 4.0 5.0 9
061652 3.0 5.5 10
061704 2.0 5.5 10
061716 3.0 5.5 10
061734 3.0 6.0 10
061740 4.0 6.0 10
061845 6.0 9.5 8
061926 5.0 10.5 8
062013 6.0 9.0 9
062043 6.0 9.0 9
062136 4.0 8.0 9
062142 3.0 7.5 8
062148 4.0 7.5 8
062154 4.0 7.5 8
062212 3.0 6.0 7
070004 1.0 5.0 7
070033 4.0 6.0 6
070045 5.0 7.0 6
070057 3.0 7.5 6
070109 7.0 10.0 6
070127 6.0 10.0 7
070139 7.0 10.0 7
070150 5.0 8.0 7
070220 7.0 9.0 7
070238 10.0 9.0 6
070301 10.0 11.0 4
070319 6.0 10.5 6
070337 7.0 10.5 6
070354 7.0 11.0 7
070400 7.0 11.0 7
070418 9.0 10.0 6
070448 9.0 11.0 5
070459 9.0 10.5 4
070505 5.0 10.0 5
070517 7.0 10.0 5
070535 7.0 9.0 5
070547 7.0 8.0 6
070733 7.0 12.5 8
070850 9.0 12.0 8
071022 8.0 10.0 9
071058 8.0 9.5 8
071104 6.0 10.0 7
071110 6.0 11.0 9
071139 9.0 11.0 9
071215 8.0 10.0 10
071244 9.0 10.5 10
071314 12.0 10.5 10
071320 10.0 10.5 10
071326 8.0 10.5 10
071413 9.0 11.0 8
071425 9.0 11.5 8
071431 9.0 11.0 8
071512 11.0 12.0 9
071623 10.0 13.0 9
071635 14.0 14.0 8
071647 12.0 15.0 7
071716 15.0 17.0 7
071722 15.0 17.0 7
071734 20.0 16.5 8
071740 19.0 16.0 8
071746 14.0 16.5 8
071804 17.0 19.5 10
071816 16.0 20.0 10
071827 17.0 19.5 10
071833 19.0 19.5 10
071950 17.0 16.5 10
072055 14.0 21.0 10
072107 12.0 16.0 10
072131 9.0 10.5 8
072143 7.0 10.0 8
072200 6.0 10.0 6
072206 7.0 9.0 6
072230 7.0 10.0 7
072253 4.0 10.0 7
072305 5.0 8.0 6
072347 6.0 7.0 6
080016 6.0 7.0 6
080040 5.0 7.0 6
080058 4.0 5.5 6
080121 5.0 5.0 5
080127 4.0 6.0 6
080145 2.0 6.0 7
080157 3.0 5.0 7
080214 5.0 5.0 8
080238 3.0 4.0 8
080244 3.0 4.0 8
080256 3.0 4.5 8
080319 2.0 4.0 8
080413 1.0 2.5 8
080652 2.0 3.0 7
080704 3.0 3.0 9
080722 1.0 3.0 9
080734 1.0 3.0 9
080757 2.0 1.0 8
080809 1.0 1.0 7
080827 1.0 2.0 9
081015 2.0 3.0 7
081033 3.0 3.0 8
081045 2.0 3.0 8
081109 2.0 3.0 8
081120 3.0 3.0 8
081126 3.0 3.0 8
081243 3.0 5.0 9
081348 13.0 8.0 7
081441 6.0 8.0 9
081517 9.0 12.0 8
081523 9.0 12.5 8
